version	threads	time
STMSet	32	1.849108511
STMSet	32	1.985326341
STMSet	32	2.081095629
STMSet	32	2.184891563
STMSet	32	2.007207873
STMSet	32	2.024068771
STMSet	32	2.141857437
STMSet	32	2.063699944
STMSet	32	1.953632393
STMSet	32	2.009271388
STMSet	32	2.134044444
STMSet	32	2.076408941
STMSet	32	2.090064851
STMSet	32	2.171962158
STMSet	32	2.084942552
STMSet	32	2.004565618
STMSet	32	1.962914475
STMSet	32	2.179212019
STMSet	32	1.939245681
STMSet	32	1.908977717
STMSet	32	2.089469452
STMSet	32	2.05587673
STMSet	64	2.122841223
STMSet	64	2.320136656
STMSet	64	2.29608459
STMSet	64	2.246121305
STMSet	64	2.248241999
STMSet	64	2.357779149
STMSet	64	2.290521837
STMSet	64	2.243388091
STMSet	64	2.248744082
STMSet	64	2.241990441
STMSet	64	2.406068599
STMSet	64	2.276188881
STMSet	64	2.22906149
STMSet	64	2.15527834
STMSet	64	2.401470861
STMSet	64	2.18521927
STMSet	64	2.30042528
STMSet	64	2.339532389
STMSet	64	2.281328334
STMSet	64	2.298714272
STMSet	64	2.334509334
STMSet	64	2.336024815
STMSet	64	2.271831206
STMSet	64	2.386849984
STMSet	64	2.220921483
STMSet	64	2.220399871
STMSet	64	2.35392799
STMSet	64	2.225196606
STMSet	64	2.321306153
STMSet	64	2.259159902
